X,Y
167,873
86,778
59,751
-3,699
175,874
195,895
199,900
199,895
199,897
197,902
197,904
201,900
201,897
196,890
183,881
195,886
205,886
203,888
201,894
200,895
200,895
200,894
200,884
201,877
212,860
233,843
247,832
282,818
323,816
345,821
417,832
457,876
473,886
523,893
613,888
647,888
696,885
735,886
747,888
755,895
758,899
759,904
763,905
761,904
763,905
762,904
763,903
760,903
753,883
756,885
768,885
767,888
764,893
764,893
762,893
761,893
761,889
762,877
773,858
784,849
818,824
966,836
939,831
939,806
977,819
1022,847
1074,867
1128,876
1180,875
1251,875
1302,875
1323,874
1343,876
1346,883
1351,887
1352,887
1352,888
1355,887
1355,887
1351,887
1346,886
1341,875
1343,875
1353,875
1353,875
1350,880
1350,881
1349,881
1350,880
1351,879
1350,876
1353,861
1356,852
1374,834
1403,810
1417,800
1454,790
1493,797
1513,802
1571,808
1622,848
1646,853
1652,853
1731,868
1777,862
1811,857
1825,855
1837,853
1860,859
1866,868
1871,866
1870,865
1872,864
1873,863
1873,858
1863,857
1864,857
1866,858
1859,850
1856,860
1862,863
1884,859
1918,814
1916,825
1916,805
1923,799
1919,804
1813,899
1811,896
1810,896
1806,896
1804,897
1805,895
1808,894
1814,893
1815,887
1816,887
1817,888
1826,891
1825,893
1825,894
1824,894
1824,891
1827,884
1823,872
1810,856
1792,846
1767,826
1733,808
1711,804
1653,817
1583,840
1542,871
1494,887
1409,887
1364,894
1307,899
1252,902
1233,903
1215,909
1210,909
1209,910
1208,909
1272,877
1214,895
1215,902
1215,905
1214,904
1212,896
1206,888
1194,883
1200,889
1143,895
1165,895
1168,896
1173,896
1180,893
1188,882
1195,862
1187,848
1156,828
1115,816
1090,814
1041,815
968,825
942,867
880,873
807,881
772,893
702,900
640,902
614,903
595,905
596,908
591,909
592,908
588,908
590,908
591,909
593,909
597,909
594,904
597,898
587,895
576,895
584,896
587,896
589,897
591,897
592,896
593,892
593,876
588,864
567,844
530,821
508,815
470,809
419,811
390,820
334,839
276,861
243,869
189,889
128,894
106,895
78,893
69,893
67,894
64,893
62,895
64,893
63,895
61,896
63,896
64,895
65,885
73,873
65,875
