X,Y
31,903
32,905
32,908
33,897
34,897
34,888
39,889
43,890
48,891
47,892
42,895
39,897
38,898
38,899
38,899
38,899
38,898
38,897
38,895
38,893
40,890
41,888
41,883
41,879
44,873
52,867
64,861
75,859
84,854
94,842
108,831
122,825
136,821
152,821
169,822
190,823
222,822
239,828
255,834
299,866
333,880
347,889
375,888
406,889
436,891
464,893
491,895
511,895
527,895
542,896
559,896
566,898
572,902
575,905
575,906
576,909
577,910
579,909
581,910
579,909
577,910
578,909
577,909
576,910
576,910
575,910
574,909
572,909
572,909
574,905
575,900
574,896
574,894
579,894
588,894
594,892
588,894
579,898
578,899
578,899
578,899
578,899
578,899
575,899
575,897
575,895
575,892
576,888
577,884
579,879
584,873
588,867
597,862
607,852
616,847
625,838
641,831
656,831
672,823
690,817
706,818
727,822
746,825
775,826
802,829
819,834
860,865
875,885
892,885
925,882
922,891
995,893
1024,897
1047,894
1065,894
1083,894
1099,894
1107,896
1112,901
1111,904
1113,906
1116,908
1117,908
1115,907
1114,907
1114,906
1113,906
1114,906
1113,905
1112,906
1113,906
1113,905
1112,905
1108,905
1105,904
1105,899
1105,888
1105,890
1105,891
1112,891
1121,889
1128,890
1125,890
1122,892
1121,894
1121,894
1121,895
1118,895
1116,894
1116,892
1116,890
1116,886
1116,882
1117,879
1119,870
1120,862
1125,857
1136,851
1147,848
1158,845
1168,841
1179,836
1191,825
1205,823
1224,818
1247,819
1268,822
1294,826
1334,844
1347,846
1357,848
1379,855
1405,873
1412,885
1416,892
1415,892
1487,888
1525,897
1503,912
1584,903
1599,898
1607,895
1615,894
1618,893
1620,893
1618,894
1619,895
1620,897
1619,898
1618,898
1616,898
1611,898
1612,898
1613,898
1615,899
1617,899
1616,899
1615,899
1609,893
1604,885
1604,878
1605,880
1608,877
1609,876
1617,876
1628,876
1636,876
1633,876
1633,879
1629,884
1628,884
1627,884
1626,883
1626,881
1626,880
1623,880
1622,879
1621,878
1620,877
1620,875
1620,873
1620,869
1622,864
1624,859
1629,853
1633,848
1640,843
1646,837
1655,833
1665,826
1679,814
1693,810
1712,807
1727,806
1740,808
1763,814
1786,823
1795,824
