X,Y
1856,856
1841,869
1823,872
1809,876
1791,876
1775,877
1750,888
1731,890
1703,895
1684,896
1660,901
1642,900
1624,902
1612,902
1606,906
1608,909
1606,912
1605,912
1604,912
1605,912
1604,911
1603,910
1604,910
1607,911
1605,911
1605,911
1604,911
1605,909
1606,909
1606,909
1607,910
1609,902
1624,902
1626,901
1626,896
1607,896
1597,897
1591,898
1592,898
1595,903
1596,909
1597,912
1599,912
1600,912
1600,912
1600,910
1601,910
1601,905
1601,898
1601,888
1598,879
1593,865
1585,854
1570,845
1554,837
1535,829
1516,826
1491,823
1472,824
1455,821
1429,826
1392,859
1360,872
1339,876
1321,876
1288,877
1248,889
1219,896
1191,902
1162,899
1140,897
1127,896
1120,900
1114,904
1113,908
1109,908
1107,907
1107,907
1110,906
1111,906
1108,907
1107,907
1108,907
1109,908
1109,908
1109,905
1108,904
1108,903
1109,887
1129,886
1135,883
1131,884
1116,887
1105,889
1104,894
1105,902
1107,907
1107,911
1108,910
1108,909
1109,909
1110,908
1110,901
1110,895
1111,891
1109,883
1108,874
1101,860
1091,850
1077,841
1062,825
1046,818
1026,816
1007,814
985,814
964,818
942,817
922,815
890,829
853,859
828,871
799,871
770,886
726,884
692,892
664,895
641,893
613,890
592,888
576,888
570,890
569,894
563,901
561,900
558,900
560,900
559,899
560,900
560,900
557,899
559,899
559,898
562,896
562,896
563,896
563,896
563,895
562,893
562,883
577,881
579,878
569,884
557,888
527,888
506,888
495,898
548,899
557,898
558,899
557,899
557,899
560,899
560,896
561,894
561,893
561,889
560,886
560,877
557,863
554,851
315,883
387,885
408,885
483,821
485,810
474,805
456,805
432,810
404,817
370,821
360,822
334,830
307,862
289,865
265,867
242,864
206,877
154,881
124,883
106,880
88,880
74,880
71,879
63,880
60,883
64,884
65,883
62,883
56,882
55,881
54,879
56,874
59,869
59,869
58,868
52,866
51,864
46,860
43,854
39,849
38,835
47,838
47,840
51,841
49,841
