X,Y
1846,596
1858,233
1881,340
1832,783
1833,923
1835,926
1835,927
1835,927
1839,928
1839,928
1839,928
1840,929
1841,929
1841,929
1842,931
1842,931
1843,931
1844,931
1845,930
1846,930
1846,930
1846,930
1846,928
1845,927
1845,923
1845,921
1844,918
1841,912
1837,907
1831,898
1826,894
1818,889
1807,881
1795,870
1783,870
1773,876
1757,878
1744,889
1725,894
1685,905
1672,913
1658,919
1649,920
1629,920
1600,917
1575,916
1550,920
1532,928
1517,931
1505,933
1493,932
1485,933
1482,934
1478,934
1474,936
1473,937
1470,937
1469,936
1469,936
1467,936
1465,936
1464,936
1465,936
1466,937
1466,939
1466,939
1466,939
1467,939
1467,938
1474,927
1475,927
1479,920
1479,920
1479,920
1479,923
1473,927
1462,927
1460,926
1462,931
1463,934
1463,935
1464,935
1464,934
1465,934
1466,934
1466,933
1467,933
1469,932
1471,932
1473,932
1473,931
1473,928
1473,924
1470,918
1463,908
1458,897
1453,887
1445,879
1433,873
1424,869
1410,867
1395,867
1386,869
1364,872
1341,872
1306,895
1282,915
1271,918
1253,921
1237,919
1213,918
1177,918
1144,922
1119,925
1101,926
1078,927
1063,929
1055,930
1047,930
1042,930
1039,930
1038,932
1033,934
1030,934
1030,934
1030,934
1031,934
1030,933
1032,933
1032,933
1033,935
1033,935
1033,936
1033,936
1033,936
1033,936
1033,934
1032,931
1031,928
1031,925
1034,909
1037,911
1037,912
1030,914
1019,913
1020,913
1015,914
1020,917
1023,921
1025,922
1028,923
1031,924
1036,924
1038,926
1038,927
1038,929
1038,928
1037,928
1036,924
1034,916
1030,911
1022,900
1017,890
1010,879
1003,870
996,860
981,854
969,852
954,855
926,860
911,857
888,859
859,875
846,891
829,905
810,908
790,907
771,927
725,917
703,914
677,914
645,914
624,914
608,914
596,914
590,914
587,914
584,914
583,914
587,920
586,921
584,921
582,922
581,922
581,922
580,922
581,922
581,922
583,923
584,923
584,924
584,923
584,922
584,923
585,922
586,920
586,920
586,920
585,920
596,905
595,906
594,907
585,907
578,907
573,912
575,915
575,916
579,917
581,917
581,917
581,918
581,918
581,918
581,918
581,918
582,918
582,918
584,917
590,919
592,919
592,918
589,911
583,901
580,896
574,887
568,879
562,870
550,863
545,856
533,848
522,846
487,848
475,845
462,849
449,863
434,877
422,884
404,886
383,888
369,913
332,906
303,900
286,899
262,902
237,902
218,904
202,907
192,907
186,907
180,907
176,908
175,909
177,909
179,909
180,911
178,911
178,911
178,911
178,911
177,911
177,911
177,911
178,911
178,911
177,911
176,913
176,914
177,916
178,916
178,916
178,916
180,916
181,914
181,915
181,915
181,915
181,915
181,915
187,915
189,914
186,913
182,913
177,908
172,903
169,902
162,902
158,902
157,901
158,899
158,897
158,898
152,898
153,900
157,900
159,900
160,901
167,902
167,902
164,902
156,902
156,908
153,903
153,908
155,904
156,902
160,900
160,898
164,895
165,894
165,893
165,891
167,892
172,894
173,898
173,898
174,899
174,899
174,901
174,901
174,901
174,900
173,900
173,900
172,901
171,901
170,901
169,901
169,901
168,901
168,901
167,901
167,901
167,901
166,901
166,901
166,902
166,901
167,901
168,902
167,902
168,902
168,902
170,905
171,906
171,907
