X,Y
1874,644
1879,643
1894,630
1891,605
1848,704
1902,911
1901,903
1907,911
1908,915
1913,924
1916,921
1915,915
1914,912
1913,903
1909,897
1904,887
1897,883
1867,871
1859,869
1839,869
1819,869
1802,869
1771,883
1671,906
1664,914
1683,918
1681,924
1585,918
1553,918
1528,919
1502,923
1481,925
1467,928
1451,931
1441,933
1440,935
1440,936
1443,935
1444,934
1444,934
1443,934
1442,934
1443,935
1441,934
1440,934
1439,935
1440,936
1438,936
1439,937
1439,937
1438,934
1435,931
1435,921
1435,921
1436,920
1432,918
1427,916
1427,912
1433,912
1433,914
1435,917
1432,917
1434,921
1436,922
1437,923
1437,924
1438,922
1440,920
1441,919
1441,915
1440,911
1439,904
1436,896
1424,886
1416,880
1403,872
1389,859
1372,855
1351,853
1330,854
1315,853
1291,857
1259,859
1197,888
1181,906
1169,908
1137,920
1065,931
1040,929
1003,929
975,930
969,927
948,926
930,923
933,924
916,923
913,924
913,924
913,920
911,920
911,920
912,921
911,921
911,920
911,921
910,918
910,919
912,919
913,918
913,916
914,914
914,913
914,910
914,910
914,911
907,908
904,908
911,909
921,915
921,917
921,919
920,919
920,919
919,919
919,919
919,919
918,917
918,915
918,909
917,902
916,897
913,889
907,880
898,871
885,862
873,852
858,842
842,832
826,828
805,828
778,835
757,837
718,838
683,895
652,898
638,897
613,904
587,923
555,923
514,913
483,916
458,915
427,913
412,912
399,911
391,912
386,912
385,912
383,912
382,912
380,912
384,912
382,912
382,913
379,913
382,914
380,914
381,915
382,916
382,916
382,917
383,917
384,918
384,916
383,912
384,911
384,911
384,909
383,909
380,908
378,906
377,905
378,905
378,906
291,912
281,912
358,910
374,908
379,907
379,907
379,906
384,905
386,905
385,904
385,902
384,896
383,887
381,878
376,868
370,860
359,851
346,845
339,839
327,836
313,833
297,830
282,833
223,838
219,844
194,861
188,872
168,881
150,885
140,897
127,895
93,892
89,895
56,899
41,883
30,883
24,883
33,883
13,883
4,881
5,877
4,877
14,877
19,892
39,895
60,902
58,902
65,910
47,909
38,907
39,907
40,906
40,906
55,904
53,894
63,881
78,841
73,832
70,823
62,831
43,829
