X,Y
80,889
88,889
115,894
143,896
163,896
183,896
191,896
199,898
204,898
207,898
209,900
211,902
213,903
216,903
217,904
84,903
19,894
190,898
118,898
15,891
9,885
12,878
20,872
29,866
34,858
42,853
44,847
65,846
91,847
111,849
139,851
160,853
187,863
211,881
224,892
251,897
276,895
297,898
330,901
360,906
386,908
398,907
412,911
422,910
428,910
432,913
432,919
433,923
436,926
437,927
439,927
438,925
441,926
440,925
440,925
440,925
442,925
443,925
441,925
440,925
440,926
441,926
440,926
439,924
395,891
363,885
364,892
412,901
426,902
443,903
458,901
480,902
494,902
504,905
539,906
575,906
543,906
458,917
447,920
443,919
443,918
632,919
635,919
648,920
466,917
446,915
450,910
452,907
454,902
454,898
456,894
458,888
462,879
467,872
481,866
496,863
511,863
530,861
552,863
574,864
610,865
625,880
645,895
667,902
691,906
713,908
741,910
769,913
799,916
819,917
834,918
850,919
862,920
874,921
883,923
889,925
892,927
892,928
894,930
892,930
887,931
889,931
890,931
892,931
893,931
893,931
893,931
893,931
712,864
834,902
864,914
886,922
890,927
891,930
893,932
890,932
890,932
889,930
888,923
889,923
897,921
926,917
949,916
969,915
965,917
984,922
963,922
931,924
903,925
897,925
896,925
897,925
1079,925
930,923
904,920
899,917
900,916
901,913
903,908
904,903
906,898
908,892
916,886
927,879
937,870
949,862
962,857
974,853
988,855
1007,857
1032,857
1053,857
1067,857
1082,876
1110,888
1132,901
1149,906
1168,910
1202,915
1239,922
1260,924
1276,924
1291,926
1303,928
1311,928
1318,928
1321,930
1322,934
1325,936
1330,937
1329,935
1330,935
1330,935
1329,935
1329,935
1329,935
1328,935
1330,935
1324,934
1325,934
1163,869
1164,856
1175,853
1188,851
1310,918
1326,930
1325,934
1324,935
1323,931
1317,927
1317,927
1326,928
1335,927
1356,926
1368,924
1375,923
1366,923
1358,925
1357,926
1453,925
1487,923
1496,923
1447,928
1432,929
1489,929
1459,925
1510,926
1516,927
1516,927
1362,919
1340,913
1342,910
1346,904
1350,900
1356,893
1363,886
1368,877
1372,868
1388,861
1403,859
1419,856
1432,855
1448,854
1467,855
1487,857
1501,871
1518,890
1536,900
1555,909
1578,916
1597,918
1619,918
1639,921
1659,925
1672,928
1685,929
1696,932
1702,934
1704,935
1706,936
1702,937
1702,937
1703,939
1704,938
1705,938
1706,937
1707,936
1709,935
1707,935
1707,935
1706,934
1707,934
1707,935
1707,935
1707,935
1708,935
1707,935
1707,935
1707,935
1703,935
1702,935
1699,934
1699,933
1699,929
1699,928
1699,927
1700,927
1703,927
1704,925
1708,925
1712,924
1717,922
1719,922
1718,925
1717,926
1715,929
1711,930
1710,930
1710,930
1710,930
1714,929
1723,929
1727,927
1729,926
1728,926
1728,923
1728,919
1728,916
1728,914
1732,910
1734,906
1734,901
1735,896
1741,892
1745,886
1746,881
1755,878
1773,874
1785,874
1808,876
1804,877
1817,889
1821,890
1833,904
1851,905
1872,909
1875,912
1880,914
1880,912
1867,874
1866,859
1846,895
1836,912
1831,915
1828,918
1823,918
1824,918
1825,920
1825,922
1825,922
1825,920
1824,920
1824,920
1824,917
1824,913
1826,908
1829,903
1833,903
1834,903
