X,Y
30,881
30,887
30,894
29,893
29,892
29,887
27,879
21,872
15,867
20,867
32,871
35,872
38,876
39,884
37,893
36,898
36,898
35,899
35,900
35,900
35,900
35,902
33,901
33,900
34,897
36,891
39,884
40,879
41,872
41,866
47,859
55,851
63,843
73,838
87,834
100,831
114,829
128,831
138,832
155,831
184,831
198,850
194,852
241,885
266,893
274,895
289,895
292,896
286,899
378,896
339,907
313,913
294,916
280,915
276,914
272,914
373,926
297,922
371,927
475,915
485,909
483,908
485,907
482,906
482,906
480,906
481,905
485,904
485,903
484,903
483,902
482,903
484,903
483,903
481,903
482,897
482,890
475,890
456,886
456,887
474,888
486,886
493,886
491,890
490,895
488,898
488,900
488,902
488,903
487,905
486,905
485,905
485,905
485,903
485,901
487,895
488,888
488,882
489,877
495,869
502,861
511,852
518,847
530,842
539,837
552,834
566,832
583,831
598,833
623,836
645,840
659,849
682,874
716,894
725,897
734,899
730,902
718,908
712,912
715,913
880,911
825,925
906,918
878,921
848,924
926,917
883,925
875,926
933,922
941,917
942,917
942,916
924,916
940,915
939,914
938,913
938,913
939,913
939,913
939,911
940,911
940,910
939,910
938,908
938,902
937,893
934,890
924,880
924,882
935,885
944,885
951,881
952,884
950,893
949,899
949,900
948,900
951,901
950,901
947,902
944,902
943,900
942,899
942,896
941,893
940,891
940,885
944,881
948,876
953,865
959,860
965,856
973,849
984,841
993,838
1005,836
1017,837
1031,833
1045,834
1060,835
1083,836
1109,839
1125,851
1144,862
1172,892
1189,896
1196,898
1196,902
1209,899
1288,894
1318,891
1341,890
1354,889
1366,889
1376,888
1383,889
1386,889
1390,891
1392,894
1394,896
1390,900
1390,905
1392,906
1391,907
1389,907
1387,906
1386,905
1386,905
1386,905
1387,905
1387,903
1388,902
1389,900
1388,898
1387,897
1386,891
1384,883
1384,881
1378,870
1376,874
1378,876
1384,878
1394,881
1399,883
1397,886
1396,893
1394,898
1394,898
1393,898
1463,920
1416,917
1399,913
1393,912
1393,910
1393,908
1392,908
1393,904
1393,900
1392,897
1391,895
1391,891
1390,888
1390,883
1390,878
1391,873
1394,868
1400,862
1406,856
1414,850
1419,845
1429,838
1437,835
1445,834
1456,832
1470,832
1483,833
1498,835
1517,835
1531,843
1554,857
1566,861
1576,883
1611,883
1619,883
1621,883
1620,886
1622,884
1624,884
1622,891
1619,895
1628,896
1627,897
1625,897
1702,898
1703,905
1740,900
1747,899
1749,899
1725,907
1744,895
1748,893
1744,890
1746,888
1744,882
1743,883
1746,883
1744,880
1745,880
1744,879
1739,874
1732,872
1735,872
1737,873
1737,870
1737,871
1742,872
1733,868
1733,865
1738,861
1742,862
1746,869
1753,872
1754,873
1752,873
1751,873
1749,871
1748,871
1748,874
1748,875
1748,876
1749,877
1750,878
1751,878
1752,879
1753,878
1753,877
1753,877
1753,877
1753,877
1753,874
1752,874
1752,873
1752,872
1752,872
1754,871
1754,867
1757,865
1758,865
1761,862
1761,855
