X,Y
24,892
24,892
24,892
22,881
21,883
-7,875
-7,877
-3,876
1,876
26,879
49,882
83,885
113,889
138,894
159,901
176,906
199,905
216,906
228,908
236,909
242,911
244,913
246,914
249,915
251,915
253,915
254,915
250,915
249,917
251,917
253,917
253,917
251,918
251,918
251,918
252,918
254,918
253,919
253,919
253,918
252,913
254,912
254,912
254,912
257,907
272,900
277,900
288,898
324,899
280,902
402,898
433,895
448,895
460,894
472,895
477,896
390,901
470,903
411,907
274,908
264,908
266,907
261,905
261,903
257,900
263,894
268,886
272,878
276,873
279,864
286,856
301,852
320,850
338,847
359,847
380,850
405,852
432,860
458,868
477,881
502,888
530,892
558,894
595,905
619,909
640,906
663,904
678,903
689,903
697,905
702,910
700,917
699,920
704,920
705,919
705,918
703,920
704,922
704,921
707,922
708,922
706,923
704,923
704,923
704,923
705,922
705,923
705,923
707,922
706,919
707,918
707,916
708,912
711,905
719,902
734,901
767,902
818,902
831,903
839,903
734,907
735,908
718,911
715,911
780,912
725,912
727,911
724,911
718,911
712,910
711,908
713,904
715,899
716,892
717,887
722,880
728,872
738,863
748,854
760,847
775,841
789,837
802,837
817,840
847,844
869,845
895,852
919,867
933,885
958,894
986,893
1014,894
1050,901
1087,907
1112,909
1134,907
1154,904
1105,907
1170,907
1180,907
1180,910
1175,915
1179,917
1180,917
1183,919
1181,920
1180,921
1182,921
1183,921
1183,920
1183,920
1183,920
1183,920
1183,920
1182,920
1182,919
1182,919
1182,919
1182,919
1181,919
1181,919
1183,918
1178,914
1178,911
1180,909
1187,906
1202,900
1228,899
1221,899
1203,904
1189,910
1183,913
1183,915
1183,915
1182,915
1180,915
1180,915
1180,914
1181,914
1181,913
1182,911
1182,910
1182,908
1183,905
1183,899
1185,891
1190,885
1197,876
1206,863
1214,856
1222,850
1232,843
1244,839
1256,837
1277,839
1298,841
1309,843
1336,846
1355,853
1364,871
1382,886
1401,889
1421,886
1450,887
1472,893
1499,901
1534,900
1552,899
1568,898
1532,905
1592,902
1603,901
1605,900
1607,899
1611,901
1611,903
1613,904
1612,906
1607,906
1608,907
1609,908
1610,908
1610,908
1610,908
1610,908
1610,909
1610,909
1609,908
1610,908
1609,907
1609,907
1609,907
1610,907
1610,907
1610,907
1609,907
1608,907
1608,905
1609,902
1606,898
1606,896
1606,897
1606,896
1617,893
1639,887
1651,887
1656,885
1661,883
1665,884
1658,888
1654,892
1653,895
1651,896
1621,901
1615,902
1614,902
1610,902
1610,902
1612,902
1611,900
1611,898
1611,895
1611,891
1612,886
1614,881
1617,872
1620,866
1631,861
1637,858
1645,850
1659,844
1672,844
1679,842
1690,840
1708,841
1726,843
1734,847
1742,852
1751,866
1764,874
1781,877
1797,877
1809,878
1833,880
1850,887
1864,887
1883,885
1889,885
1890,884
1889,886
1890,886
1888,886
1891,885
1887,885
1887,884
1888,883
1882,883
1862,889
1844,885
1850,887
1882,882
1889,876
1888,877
1893,881
1894,881
1893,881
1899,883
1885,910
1876,908
1873,902
