X,Y
-19,675
-36,755
-33,816
-5,856
43,876
107,879
152,876
213,892
266,897
290,898
318,898
330,906
329,908
333,912
332,912
332,911
335,910
332,910
333,911
334,909
338,907
331,897
332,896
350,894
352,893
345,896
341,897
340,900
339,900
338,899
337,897
337,890
338,876
343,860
364,836
399,819
421,813
466,814
518,824
557,835
610,876
682,885
713,890
791,904
852,905
872,907
895,910
899,916
898,920
903,921
905,920
905,918
904,919
907,919
911,920
908,921
908,920
901,904
909,903
914,904
912,905
910,906
910,908
910,909
913,909
912,909
912,908
911,897
921,873
933,857
964,835
1001,826
1026,824
1073,833
1146,837
1169,859
1228,889
1290,899
1334,901
1398,910
1438,910
1455,910
1467,911
1472,919
1473,922
1475,924
1475,926
1474,924
1475,922
1474,923
1474,922
1472,922
1470,921
1468,921
1472,921
1480,917
1483,916
1480,916
1479,915
1478,916
1478,915
1477,915
1477,914
1477,911
1478,903
1485,889
1499,858
1524,836
1547,829
1597,821
1621,832
1637,840
1680,867
1726,876
1743,878
1772,883
1808,895
1827,896
1839,895
1837,900
1834,904
1832,905
1831,904
