X,Y
1622,892
1624,893
1627,895
1627,897
1626,899
1623,899
1622,900
1619,902
1618,906
1618,913
1542,918
1456,915
1438,914
1433,913
1604,914
1629,917
1637,916
1633,906
1626,902
1616,894
1604,893
1583,893
1538,894
1476,916
1451,920
1430,918
1360,918
1331,924
1303,929
1292,931
1286,932
1287,931
1288,932
1284,933
1288,934
1285,934
1281,933
1280,932
1194,465
1276,900
1281,918
1282,921
1286,920
1287,920
1281,906
1273,892
1244,881
1206,884
1181,886
1113,911
1072,919
1053,926
982,931
919,936
899,935
877,934
878,936
871,937
870,937
873,937
876,938
876,937
877,937
876,937
875,933
878,932
874,929
862,924
851,913
860,916
865,917
711,909
696,908
841,910
859,913
867,914
871,905
863,890
852,883
820,871
766,881
741,883
689,899
646,906
615,909
549,919
502,921
481,919
466,921
467,922
463,922
460,923
467,924
469,923
464,923
463,924
464,924
466,923
470,923
466,922
461,921
457,917
452,915
456,914
452,913
386,908
360,906
334,906
434,906
454,905
454,892
450,883
431,865
388,865
357,872
309,878
266,888
244,905
188,905
132,909
111,911
83,912
77,914
73,916
69,918
77,921
70,919
71,921
74,923
74,923
74,923
76,923
75,920
77,911
69,911
61,910
59,909
63,902
