X,Y
0,857
0,868
-1,870
-1,870
-1,868
-1,866
-1,866
0,865
-11,879
-11,877
-10,876
14,880
11,855
15,850
20,845
30,846
35,847
46,850
46,843
50,838
70,839
94,852
108,865
130,871
151,873
165,877
183,879
209,880
228,884
247,886
257,888
267,890
271,892
275,894
267,898
273,900
274,901
275,900
277,900
278,901
279,901
280,901
281,901
281,902
281,902
282,902
282,902
284,902
284,902
284,902
285,901
284,901
284,901
284,897
284,890
284,880
287,877
281,871
287,883
273,880
274,876
278,873
282,874
288,874
288,875
289,876
289,876
285,883
282,893
282,897
282,898
282,898
283,897
282,896
282,897
282,897
281,897
280,899
281,899
281,894
283,889
285,884
287,881
289,876
293,869
298,863
306,859
316,851
324,846
331,844
343,840
352,841
361,840
381,836
388,839
401,838
420,856
440,869
460,880
478,878
496,878
506,879
520,879
540,881
496,892
563,890
474,900
583,897
597,895
598,895
597,897
596,899
544,920
593,913
600,910
600,908
601,906
602,905
601,905
602,904
603,904
603,903
603,903
603,902
605,902
606,902
606,902
605,901
605,901
604,900
604,897
601,892
601,892
602,896
600,895
594,897
594,897
594,885
594,884
596,882
600,878
604,880
605,880
609,878
608,879
606,880
603,885
602,887
602,887
602,885
602,885
602,884
602,886
602,885
602,883
602,884
604,884
604,884
604,884
604,884
604,884
604,882
605,877
610,870
616,865
621,861
626,855
632,852
639,853
649,851
657,851
669,850
681,850
690,847
701,855
721,879
740,890
751,891
763,888
768,886
784,885
788,883
799,883
799,885
819,891
826,890
822,889
828,889
824,888
826,888
827,888
827,888
829,890
825,890
828,889
827,890
831,890
831,890
827,894
827,894
827,894
827,896
827,896
827,885
830,887
831,888
835,888
837,888
836,884
835,884
835,882
835,882
835,877
835,878
831,880
826,885
825,888
825,891
826,891
826,891
827,892
828,891
828,886
828,883
829,882
830,883
833,881
833,879
834,876
836,872
837,868
842,860
856,847
869,844
877,842
888,842
894,841
906,844
913,846
926,848
943,847
965,865
986,887
997,892
1011,888
1027,886
1045,886
1057,886
1076,886
1098,886
1106,889
1106,890
1098,893
1111,896
1115,898
1115,899
1113,899
1115,899
1112,899
1111,898
1109,898
1114,898
1114,898
1114,898
1113,896
1112,896
1112,896
1112,895
1107,894
1107,901
1106,901
1106,900
1106,897
1105,897
1105,898
1107,898
1108,881
1112,874
1112,873
1112,875
1121,876
1123,876
1123,876
1123,883
1121,889
1121,891
1121,891
1120,894
1120,896
1123,896
1123,895
1123,896
1121,895
1121,894
1122,893
1123,892
1123,888
1124,885
1123,880
1124,879
1125,876
1125,872
1126,871
1128,867
1133,860
1139,854
1148,848
1161,845
1174,844
1190,844
1204,845
1205,846
1218,847
1235,848
1246,851
1257,864
1280,882
1292,885
1300,885
1313,886
1324,887
1339,885
1360,903
1363,900
1379,905
1381,901
1389,898
1390,895
1393,894
1394,893
1393,893
1393,892
1393,893
1392,893
1393,893
1392,893
1394,893
1394,893
1394,892
1393,892
1393,890
1392,884
1392,898
1391,899
1385,894
1383,891
1383,887
1385,885
1387,885
1391,882
1395,873
1400,874
1405,869
1406,871
1405,870
1404,871
1403,871
1403,873
1403,875
1403,875
1402,876
1402,877
1404,877
1404,877
1403,880
1403,880
1403,880
1404,879
1405,878
1405,875
1406,870
1407,864
1407,857
1407,854
1413,850
1418,846
1422,842
1430,840
1439,835
1448,836
1460,830
1476,832
1489,834
1504,834
1517,834
1527,840
1542,853
1550,857
1568,878
1580,887
1589,887
1598,885
1601,881
1614,890
1634,891
1643,889
1658,887
1667,886
1663,886
1673,884
1682,884
1685,884
1683,882
1683,885
1678,885
1674,888
1676,890
1674,892
1673,891
1675,888
1675,887
1677,885
1678,881
1679,875
1679,873
1680,871
1677,867
1676,867
1676,868
1678,869
1682,870
1686,870
1686,871
1685,871
1686,870
1685,868
1688,866
1687,866
1687,866
1684,869
1684,869
1683,872
1683,873
1683,874
1682,875
1680,876
1680,876
1680,877
1679,876
1678,876
1678,873
1678,871
1677,871
1677,871
1677,867
1678,864
1682,856
1685,851
1690,843
1700,837
1708,832
1717,828
1727,830
1738,831
1750,831
1761,830
1766,819
1766,816
1773,815
1779,818
1786,819
1813,840
