X,Y
1924,411
1917,476
1860,486
1874,448
1848,457
1873,471
1854,856
1858,867
1858,868
1862,872
1863,872
1863,873
1863,873
1865,875
1866,876
1866,876
1866,876
1867,876
1867,875
1867,874
1866,872
1865,871
1865,870
1864,868
1862,865
1860,861
1858,858
1854,854
1852,847
1846,842
1838,836
1825,834
1813,830
1804,829
1796,830
1785,831
1775,847
1758,863
1748,861
1738,862
1726,865
1713,869
1699,871
1684,874
1669,876
1654,876
1643,877
1634,879
1630,881
1629,883
1629,884
1628,884
1629,886
1628,887
1629,886
1629,886
1628,886
1626,887
1624,886
1623,885
1623,885
1624,885
1624,885
1625,885
1626,884
1638,881
1641,877
1642,876
1644,876
1644,877
1642,876
1638,877
1631,880
1627,880
1620,881
1615,880
1611,879
1612,879
1614,879
1615,878
1616,877
1621,877
1624,879
1626,879
1628,880
1628,881
1628,881
1629,881
1629,881
1629,881
1629,881
1630,882
1630,883
1631,883
1631,883
1630,883
1630,883
1630,882
1630,880
1630,878
1627,873
1625,869
1622,866
1620,864
1617,859
1611,855
1608,852
1604,848
1600,845
1592,845
1586,842
1577,841
1558,839
1547,840
1533,845
1520,859
1503,870
1487,871
1474,872
1465,870
1460,874
1446,873
1424,873
1411,875
1392,880
1379,883
1369,884
1364,884
1362,886
1362,887
1363,889
1361,889
1360,889
1359,888
1358,888
1358,887
1359,887
1359,888
1359,888
1358,888
1356,886
1356,886
1357,886
1357,886
1358,885
1362,882
1362,880
1368,874
1371,875
1372,875
1372,876
1370,876
1363,881
1356,882
1355,882
1356,879
1356,878
1357,877
1358,876
1359,877
1359,877
1359,879
1359,879
1360,880
1360,881
1360,882
1360,882
1360,882
1361,883
1362,883
1362,883
1362,883
1362,883
1361,883
1360,879
1356,873
1355,870
1351,866
1346,860
1339,852
1333,848
1327,842
1322,836
1317,835
1308,833
1293,830
1284,823
1277,828
1257,852
1225,870
1204,872
1194,877
1174,880
1159,881
1143,886
1125,889
1106,888
1092,890
1085,891
1082,892
1081,893
1082,894
1082,894
1082,894
1081,894
1082,894
1082,894
1082,894
1081,894
1080,894
1078,894
1076,893
1076,891
1076,889
1077,889
1080,888
1089,884
1099,876
1101,875
1101,875
1102,876
1101,881
1093,887
1084,887
1076,887
1075,882
1075,881
1075,879
1075,879
1075,879
1076,879
1076,882
1077,883
1077,885
1077,885
1079,887
1082,887
1082,887
1083,887
1083,887
1084,887
1084,886
1084,885
1084,881
1082,874
1080,869
1075,863
1068,856
1062,852
1053,845
1045,839
1038,836
1032,835
1020,836
1004,834
989,836
983,835
967,841
948,869
920,876
901,877
879,878
863,882
847,884
828,884
812,885
802,887
794,889
790,890
790,891
790,890
790,890
791,891
790,893
789,893
788,893
788,892
787,892
785,892
786,892
786,892
786,890
787,890
787,889
787,889
789,888
790,885
791,885
791,883
797,882
800,882
808,882
810,883
810,884
809,887
800,889
792,890
789,889
784,889
780,889
781,889
782,887
783,884
782,884
782,884
784,883
784,883
788,884
790,884
791,884
791,885
791,885
791,886
791,887
791,888
790,888
790,888
790,888
791,888
792,888
793,888
793,888
794,888
795,887
795,885
794,878
789,869
784,862
779,857
775,853
768,848
755,845
744,847
734,845
722,841
709,843
695,862
676,879
660,882
648,884
626,884
612,884
598,886
571,887
557,888
548,890
543,891
538,892
538,893
539,894
538,893
539,893
539,893
537,894
538,893
537,894
536,894
535,893
534,892
535,891
536,891
536,890
537,890
543,885
545,881
546,881
547,880
549,882
554,882
557,882
552,883
542,884
534,886
533,885
529,885
531,886
532,886
532,886
533,888
535,889
538,890
539,891
539,891
540,891
540,891
540,890
540,890
540,890
540,890
540,890
541,890
541,888
541,886
542,883
542,881
542,878
541,874
539,871
537,867
533,861
529,857
524,853
517,851
509,848
496,844
485,842
473,842
457,844
427,848
424,848
405,862
393,868
376,880
365,881
350,879
337,883
321,884
302,882
285,881
271,882
266,884
262,887
259,890
255,889
253,889
257,889
257,889
257,889
257,889
255,889
253,889
253,889
253,889
254,889
255,889
255,889
252,888
253,884
253,882
251,881
252,881
268,878
273,878
271,879
264,881
258,882
251,884
246,886
246,886
247,887
248,890
249,891
250,891
250,892
250,892
251,892
252,893
254,894
254,894
254,893
255,893
256,893
256,893
256,893
255,893
255,892
254,891
254,889
254,886
254,881
254,878
254,874
254,870
251,863
247,857
243,853
240,851
234,846
226,842
217,839
204,841
187,842
166,843
144,844
124,849
130,849
