X,Y
44,890
46,897
44,897
43,897
41,897
41,895
46,892
50,892
55,892
69,889
90,885
108,885
124,886
137,889
157,893
143,894
71,899
55,901
49,903
51,903
49,903
48,904
49,903
48,903
50,903
51,903
52,901
51,900
50,897
48,895
48,892
47,888
48,881
50,873
57,865
68,855
80,850
95,846
111,843
127,842
142,843
151,846
167,846
187,858
203,864
217,867
232,874
247,882
256,887
274,885
289,885
307,885
318,885
328,886
348,887
368,889
386,892
400,893
409,893
418,893
426,893
432,893
436,894
438,894
440,896
439,898
439,899
441,900
440,903
441,904
441,903
440,903
441,904
443,904
444,903
445,902
445,901
445,901
444,901
444,902
444,903
444,903
443,905
441,907
436,907
435,907
433,907
422,891
413,879
416,882
417,887
420,887
428,888
442,888
454,887
467,886
490,883
510,884
521,884
505,889
468,894
458,897
456,897
448,900
443,901
440,902
439,903
442,902
443,902
443,902
442,900
445,897
448,894
448,891
447,888
446,883
445,880
445,877
447,869
453,861
461,854
469,851
481,846
491,840
518,843
537,845
555,847
577,854
591,862
609,869
619,876
631,883
646,885
678,884
690,898
708,896
726,897
741,900
767,902
786,902
794,903
800,904
804,905
808,906
806,907
803,907
801,908
801,911
801,911
804,911
805,911
804,910
805,910
806,910
805,909
804,908
803,908
803,908
803,908
803,909
802,909
802,911
801,912
801,912
801,907
801,904
797,900
795,900
795,901
797,901
804,899
805,899
818,897
840,893
856,902
877,895
869,903
842,903
820,904
806,905
802,906
803,907
804,907
803,907
802,907
802,906
802,906
801,905
801,904
801,900
802,896
802,891
802,883
806,875
811,865
820,856
832,848
846,843
853,841
864,841
882,841
908,843
930,846
952,847
965,853
975,859
992,863
1008,866
1029,873
1050,880
1063,887
1087,892
1112,900
1130,901
1141,902
1149,904
1154,904
1157,905
1158,906
1158,906
1160,905
1161,904
1160,905
1161,904
1160,904
1161,905
1159,905
1159,905
1161,904
1159,903
1159,903
1158,903
1158,903
1158,903
1158,903
1157,903
1157,903
1155,902
1155,900
1155,897
1154,896
1153,896
1153,896
1153,896
1154,896
1160,896
1168,896
1170,895
1170,895
1169,896
1165,897
1164,898
1163,898
1162,898
1162,898
1161,898
1160,898
1159,898
1158,897
1158,897
1158,897
1159,897
1159,894
1159,891
1159,887
1160,883
1163,875
1171,867
1176,858
1185,849
1192,843
1208,837
1219,835
1238,836
1250,836
1262,838
1275,839
1295,840
1309,846
1319,858
1332,861
1347,864
1368,868
1381,876
1403,882
1418,887
1437,895
1461,898
1474,897
1484,900
1491,901
1497,901
1501,901
1501,901
1503,901
1503,900
1502,901
1502,901
1504,901
1505,901
1505,902
1506,902
1505,902
1504,902
1504,900
1504,900
1503,899
1503,899
1503,899
1503,899
1502,899
1502,900
1501,900
1500,900
1500,900
1500,900
1498,900
1498,900
1498,900
1498,899
1499,899
1503,897
1506,894
1506,890
1506,889
1505,890
1504,891
1503,892
1502,893
1502,893
1502,894
1502,893
1503,892
1503,891
1504,889
1505,885
1505,880
1506,875
1509,869
1515,863
1526,854
1534,847
1548,841
1562,839
1580,839
1590,840
1598,838
1611,839
1621,838
1632,839
1656,845
1668,858
1673,860
1687,868
1702,875
1714,878
1743,882
1763,884
1777,885
1786,888
1796,887
1806,885
1813,885
1817,886
1821,886
1822,886
1821,887
1820,887
1820,887
1819,888
1821,888
1823,888
1824,887
1824,887
1823,887
1822,887
1822,887
1821,886
1821,886
1820,886
1820,886
1820,885
1820,885
1820,884
1820,885
1820,886
1821,887
1821,888
1821,888
1821,888
1821,889
1817,890
1816,888
1816,884
1817,884
1820,884
1823,884
1828,884
1830,884
1831,884
1833,883
