X,Y
63,510
54,530
82,521
118,466
132,479
170,530
142,530
141,534
116,539
114,528
116,504
156,506
167,523
98,546
82,541
82,539
69,538
305,929
304,929
304,929
305,929
305,930
305,931
305,933
304,933
304,933
303,933
303,932
303,928
303,926
303,923
303,920
306,920
313,919
316,920
315,921
315,922
314,922
314,923
314,923
314,923
313,923
312,922
311,919
311,912
313,902
316,891
328,875
342,861
364,849
388,845
411,843
435,843
456,847
484,851
522,852
563,878
590,887
613,898
642,901
678,900
724,904
770,910
799,916
824,918
849,921
865,925
874,926
878,928
877,929
882,934
883,936
883,935
881,934
883,936
884,936
884,935
884,935
882,935
882,935
880,933
881,932
883,928
885,928
884,927
885,926
888,924
890,924
890,923
889,923
889,923
888,923
888,923
889,923
889,923
888,920
888,918
889,912
890,902
892,892
901,878
919,866
938,855
957,845
976,843
998,843
1028,847
1053,848
1080,851
1118,865
1149,879
1176,885
1213,898
1236,901
1278,906
1319,916
1346,920
1375,923
1394,926
1409,930
1416,932
1419,935
1416,938
1420,940
1422,941
1424,941
1425,940
1425,941
1424,941
1423,942
1422,942
1422,941
1422,941
1423,942
1424,942
1424,942
1423,942
1421,933
1421,933
1421,932
1424,930
1427,929
1426,929
1426,929
1426,929
1426,929
1426,929
1425,930
1425,930
1425,930
1425,930
1425,927
1427,921
1428,912
1430,906
1438,890
1449,869
1465,862
1481,855
1498,853
1524,851
1556,859
1577,862
1597,865
1614,882
1626,899
1656,901
1676,907
1695,910
1713,911
1738,909
1769,910
1799,911
1821,913
1835,916
1844,918
1851,919
1853,921
1857,924
1862,923
1865,925
1865,927
1862,930
1859,931
1857,931
1856,930
1854,930
1855,928
1857,924
