X,Y
97,736
96,794
118,745
151,593
176,814
170,884
179,893
180,901
181,905
174,905
231,902
231,902
235,901
234,904
233,904
255,904
253,904
250,903
208,901
211,902
270,909
269,909
253,908
260,907
262,906
260,893
212,813
188,838
201,794
208,669
213,685
239,591
234,791
258,864
265,886
282,902
308,898
335,894
347,898
367,899
263,924
263,923
263,923
262,923
262,923
262,924
262,924
262,924
262,924
261,924
261,923
262,921
264,914
267,906
270,898
274,892
279,886
287,879
300,875
314,870
330,865
344,864
360,867
384,868
415,872
445,874
459,885
479,892
504,897
527,899
548,903
568,909
589,914
617,914
638,915
654,913
670,914
682,914
691,913
697,913
700,915
702,915
703,916
706,919
707,919
707,919
707,919
707,919
706,919
707,920
708,920
710,919
710,918
710,918
711,918
710,918
710,918
710,918
710,917
714,915
714,911
714,906
714,901
714,900
715,902
717,902
715,904
714,905
712,907
710,909
710,910
710,911
710,911
709,912
708,912
708,911
708,910
709,908
711,906
714,902
715,897
717,893
720,887
723,880
728,871
738,864
750,857
761,850
777,846
788,843
805,843
828,845
849,847
871,849
897,857
920,861
941,876
966,883
990,888
1006,893
1034,896
1063,903
1087,903
1106,902
1123,902
1134,904
1143,907
1145,908
1147,910
1150,911
1151,911
1152,912
1151,912
1150,913
1149,913
1148,914
1148,914
1148,914
1150,914
1152,914
1152,914
1152,914
1153,914
1153,914
1153,914
1153,914
1152,914
1152,913
1152,913
1151,913
1150,911
1151,910
1155,907
1165,905
1164,906
1159,906
1154,906
1151,906
1150,906
1150,906
1150,906
1150,907
1150,906
1150,906
1151,906
1151,906
1151,905
1151,903
1151,900
1151,895
1154,891
1159,885
1169,875
1177,865
1187,855
1204,851
1216,845
1227,844
1243,847
1270,846
1296,840
1307,842
1319,844
1337,847
1359,869
1377,878
1394,884
1410,888
1433,893
1456,898
1479,897
1498,897
1520,897
1532,897
1542,897
1549,897
1551,899
1552,900
1553,902
1554,903
1555,904
1553,905
1552,905
1551,905
1552,905
1552,905
1553,905
1553,905
1553,905
1553,905
1552,905
1553,905
1553,905
1553,905
1553,904
1555,904
1555,901
1555,901
1556,901
1555,900
1555,900
1556,898
1558,897
1562,896
1562,896
1560,897
1557,898
1555,899
1553,900
1553,900
1552,900
1552,900
1552,899
1552,899
1552,899
1552,897
1553,895
1554,890
1557,883
1564,875
1569,868
1584,861
1592,853
1606,851
1620,850
1638,849
1654,848
1662,846
1669,847
1687,843
1700,844
1715,841
1719,861
1741,865
1752,870
1766,874
1782,878
1794,883
1812,883
1824,884
1839,884
1852,883
1859,882
1865,883
1869,883
1871,884
1872,885
1873,886
1875,886
1880,888
1880,890
1881,891
1879,893
1878,892
1878,892
1877,891
1879,890
1879,890
1879,890
1879,889
1879,889
1879,889
1879,889
1880,888
