X,Y
1866,402
1794,321
1773,535
1707,786
1750,731
1914,812
1953,886
1943,887
1926,880
1886,887
1848,919
1831,921
1819,918
1801,910
1790,914
1754,926
1707,923
1678,924
1654,924
1636,922
1621,921
1599,920
1591,920
1584,917
1582,917
1583,917
1578,917
1573,917
1573,917
1571,917
1570,917
1570,917
1569,917
1569,918
1572,917
1572,916
1571,916
1572,914
1573,908
1574,898
1573,898
1562,899
1549,898
1549,896
1546,895
1550,896
1418,895
1535,899
1563,902
1570,903
1571,904
1570,904
1570,904
1568,903
1567,900
1567,894
1566,890
1564,882
1558,872
1548,866
1534,855
1521,846
1510,836
1489,839
1467,839
1447,843
1417,843
1397,859
1358,878
1341,890
1327,888
1304,892
1264,914
1224,905
1196,906
1171,908
1151,907
1134,906
1126,904
1123,904
1126,903
1121,904
1119,905
1120,908
1118,909
1117,909
1114,910
1115,909
1115,908
1118,909
1120,908
1120,908
1118,905
1118,901
1119,889
1103,893
1103,886
1104,889
1106,890
1107,893
1109,895
1110,897
1111,898
1113,898
1114,897
1115,894
1115,889
1114,886
1114,882
1113,877
1110,873
1103,865
1094,858
1079,843
1068,829
1056,827
1039,824
1020,826
1001,823
909,838
864,882
864,885
840,885
809,907
772,892
708,904
692,904
676,902
654,899
644,898
643,898
643,897
637,897
637,897
637,897
636,897
637,898
635,900
634,901
635,901
637,901
637,901
637,899
637,895
637,885
638,868
635,875
621,876
614,877
607,876
624,877
636,884
639,888
639,889
639,889
639,889
639,889
638,887
638,885
638,882
638,878
636,874
634,868
629,860
624,850
612,844
601,834
590,829
578,821
564,814
546,815
529,818
508,821
474,832
433,846
337,894
323,895
304,880
285,877
263,878
245,877
224,877
214,877
210,878
214,878
214,879
208,879
207,879
205,879
203,879
202,879
205,879
205,881
204,883
206,884
206,884
205,884
204,884
205,877
206,875
201,875
200,877
199,876
190,875
190,873
193,873
200,873
199,873
202,875
204,876
208,877
209,877
208,877
208,876
208,876
206,876
205,874
199,862
197,859
190,852
189,848
185,841
182,835
164,820
160,820
144,820
136,822
113,822
98,826
