X,Y
76,906
82,909
82,909
82,907
79,898
80,887
96,872
110,860
158,840
208,833
244,830
456,571
444,557
478,838
478,858
493,826
438,828
424,888
430,837
455,842
501,835
584,919
649,921
613,917
601,905
603,884
618,868
656,852
712,839
743,837
811,851
858,857
877,886
951,897
1032,916
1057,918
1102,920
1116,928
1119,932
1123,935
1123,923
1136,910
1274,912
1144,915
1200,925
1336,924
1139,920
1129,900
1139,887
1167,865
1195,847
1225,842
1277,848
1321,858
1342,862
1382,896
1443,900
1482,906
1531,911
1560,914
1569,916
1571,917
1574,919
1574,920
1568,919
1570,921
1571,923
1571,922
1570,919
1571,914
1569,909
1572,913
1571,915
1587,915
1608,920
1612,922
1599,916
1593,913
1590,910
1579,908
1571,905
1571,899
1578,889
1597,882
1603,875
1623,878
1649,880
