Left Knee Angle,Right Knee Angle,Left Ankle Angle,Right Ankle Angle
168.620409684671,171.7868518963336,227.25087412830405,235.3250146588924
-443.5026425356285,-513.1486767892623,42.51044707800084,171.0273733851036
27.85999896186221,-362.627408592752,210.25643716352928,-435.32360686255
65.77225468204583,44.021999926944794,215.37475184387608,-408.7781977071616
54.66273414451394,161.7371100578059,198.434948822922,204.70243022777132
171.2817973873902,132.89131718625094,210.1267585663685,253.49951703017385
164.7734394301933,145.1915018500277,211.79779576023483,181.8476102659946
170.78376459412482,123.74021699195931,198.96098006256852,280.81640233535313
180.2396296338057,145.20034242695385,189.24077963133985,200.6348203021832
204.6558987440816,173.7402036498202,194.57421619803873,211.52189702383785
282.35097462894674,180.24670984900789,193.96954581559947,244.93096020682086
200.83434536006075,166.62555953512887,192.2275041454344,-412.67447951689394
191.03792175342141,154.2290016037983,192.40657188349746,294.5451702117067
196.91501943601688,128.64773836180748,198.49184630125282,252.1192341427376
196.16314814471536,114.0342881594426,198.11927279116546,251.26663835708308
176.59521806800655,146.38434790452266,204.57156902832543,243.23940084665114
179.01097673038137,129.39522713725867,199.10692358425482,225.8035005412179
158.41333343150237,93.7047194089808,195.87295478417371,209.45229545462684
179.80974145222112,81.62179792256721,173.41628150913849,193.0672740455161
180.34191448907004,147.97458897227224,181.8884780414642,201.6783878864153
180.6972158108397,130.6543353638188,178.00469596792914,183.78669915534905
188.2795246625331,181.58235392261864,168.1778654761078,173.55458196374033
167.49382535070077,114.84226093213886,188.01549919377925,208.40293030791605
170.67953655319775,142.7879643564681,182.95279374034467,195.4767170891511
181.36543907424186,143.58079636474935,186.52991217673525,211.9369010430747
185.33719368344825,157.0099577877042,186.8575453514065,200.19733984658254
166.17815180355706,151.39856720063673,193.68614077728103,211.02333617733686
156.6718309357566,144.85056682445594,192.86234049663568,189.53994703116535
157.28944257379413,139.48697414194996,194.2506072432593,196.57232787361534
181.03968613076734,171.5217916973185,177.39503282015346,177.1987708422501
171.78727400429074,173.32553095288242,183.2669805670898,175.1143382528998
177.3219042369396,176.3649567321921,180.27591215201846,164.97966868096702
194.0613842208163,176.97745762444148,173.84540394851655,172.89882000159466
191.65155573107822,150.74727287340488,187.51214410305278,192.52880770915152
226.79863377221503,239.13047986241403,178.3430118712668,140.11731484997264
239.2310553251378,287.26790679992956,169.8536018069097,151.217146182844
205.99129287936148,-430.10160871382334,202.18853724050277,146.43030158162756
219.9278236368511,190.02613546337696,189.59313426273033,181.74348138899742
232.47964124156866,155.3506582889088,180.475245207682,185.89556532737902
210.33290058177312,5.690131273448124,197.16330811703594,173.16899405064848
172.4233717795938,159.09201952899036,238.6750516008726,270.50209232307475
180.99409722382697,127.26905792635597,242.72410225261282,222.67516601258018
169.71357858564645,80.17033956049417,228.6168015720412,202.7938529015414
161.09191550255431,77.94849875816593,218.9108243873158,198.41720312831706
169.43825019439356,69.06017852830138,248.47887786261674,213.20334324330338
173.39187584093764,93.42461237566529,243.14941122695478,240.5890620128645
149.7024434381096,122.81599148802583,239.48976259388445,242.55188153998498
164.9862704535073,137.62396612291673,247.64808351021333,234.81789813322172
157.2056433327332,165.52322209318746,257.212639084186,247.6395336272166
165.441058555228,169.0470603995504,253.68301495112726,246.19821158638214
167.93696172359773,173.5864320148085,252.82806059849034,243.93322167354248
169.29503316191972,176.6922179691315,255.4364449432505,244.36978399776703
168.19466751200525,178.23133365459688,257.6935083127622,245.7055678539004
166.55156665537416,178.25521251361562,260.13121819816894,249.68973380572817
163.4384936232488,177.11219603129436,260.98576593563627,248.0130619712805
158.4907380272673,177.14189744891576,261.6720994229514,245.8289317677352
154.70076856169277,176.29537255792286,260.185493853394,246.001842356334
146.27240041353687,178.05851360908565,259.71804962135144,242.86742701940565
142.27373062201133,176.70516889654502,253.72214426186034,240.9346945923684
129.32096441066489,177.73749116539878,247.28057448787405,240.943043567734
116.3840125982763,174.4530406855985,247.25246266167213,242.28233897479942
111.11831751307344,180.84428201229386,246.61946622532983,244.1700827847448
102.33366722175586,176.01966799581754,255.8265718464819,245.99599235188236
104.84269038378241,186.05335207558312,249.28433777554207,251.4667737785831
213.15972322518527,209.5457177150326,189.15870363354296,233.24241832796892
227.0867772755708,246.4424304527174,167.90524292298792,185.56256785665954
162.61282177726372,189.02638579174732,252.90796253661065,232.13591529864922
151.48168499092105,165.3987852903994,247.7758088876133,249.46799924622022
141.82910558181794,168.14796268411874,248.31926045018304,252.47443162627712
155.86864938379122,153.61740313707605,243.434948822922,255.2550706574117
159.3099039937971,164.2586487306757,240.01836063115064,248.79507781139333
159.16424335756906,165.42050301544063,239.7557020941112,254.7064621389678
156.38467780304353,170.54596261706402,240.5943232142805,259.470930861036
162.8042619446295,177.93950091618177,238.3254448599385,262.21998135885144
169.23409334444617,178.9572583381083,241.81396661459982,263.5156984439241
172.66104339581955,177.61435059035296,242.4027041313563,264.27849290108577
176.60192993406832,180.14034455584297,240.31815128169868,263.7717285040685
180.83817929703093,177.76506327953965,238.4637351009303,263.10603729470625
180.65055922210584,165.6252091581397,238.51400604585407,267.3063203660153
183.26330682112396,160.2236862346221,231.75840168740703,272.9122103774207
180.15873435672364,167.8073148582682,224.04307886835883,267.11610912614856
119.07051838734915,188.95492998840888,259.3493684539237,225.0
125.51010965640506,185.33111958862642,254.8138773220747,231.39493534742613
127.1318626919843,176.02992383430623,248.0632623560117,238.88828777054894
123.40539886125966,168.61554930223846,239.02286389795572,242.97357257694222
122.25654554608847,167.27564431457762,237.0266766609355,246.59531044896767
123.06992913039745,174.33701574912456,240.8048892665565,239.78442847054671
180.7440592028887,133.83660573144778,203.0883004101904,238.2290200169418
172.69812589217972,148.3245312618908,237.12709103493012,252.69991506550573
195.52365573720928,187.93633899088698,235.6009951955535,229.75702835003995
170.83625644427892,146.32974630694795,245.73517197591502,242.90810592907954
161.5005883245963,139.8741966413836,247.179192278276,238.63849403276186
161.5323969246422,140.86282045118236,249.47476283653876,246.99500969695183
153.6929691220728,143.2118395103109,250.87959705310496,257.27259679795947
168.10853123109183,153.01235844929718,241.1317895114078,265.2534188875698
174.24354331796798,159.94121344867247,239.32286853140016,252.97162845491593
171.0442102284371,163.10626982080188,251.29856110101957,252.22867917709127
167.15156198522234,167.29943544534225,256.6083121607212,251.64838492429828
165.85172155360337,171.15676329996487,261.18017997980786,250.29470882844782
162.524416068583,180.03844443106837,262.2816078400021,248.94420542219075
162.55720555443193,184.98938022915576,262.76020194938917,-471.5660067481591
163.11936901970367,184.24894167776063,264.1992238652541,-471.7266566056852
160.6847003153066,184.23044133791436,265.791436464378,-470.9239111459343
158.33908919961956,185.89712986997583,266.3646107012201,247.94893728092327
156.48136913763759,187.5911086103861,265.1202981115343,242.89155523285027
155.407894424016,187.01018003442104,262.6958909046635,239.4659197920933
150.33239689337057,185.82271011696932,255.2843957960224,238.95273192030294
144.41778100043612,186.0427219742867,250.01870810575707,238.33045666543077
129.543708989811,182.09129270126647,244.58650480121466,241.2278521833139
123.80236558524514,172.95809665622912,234.50511634596654,245.77076532496932
123.2104590860908,173.48996401942847,237.2361781056224,247.22051127285118
118.25412444170466,169.03936114965808,244.2587349494862,250.06841455532393
117.24134563199281,162.3060085039403,243.8909174983867,251.6885722266469
122.86324990391839,156.37215407822725,236.9913012513893,254.83412698724717
125.62739726796958,153.03890135536713,232.38955068032436,251.34790524511226
149.79616061139652,169.05140781705862,216.75663789616297,245.4040673810196
150.84127209773058,155.5604007516124,246.70952805313252,243.8779301857104
127.01155132127705,123.02400471497889,238.6651825165577,254.34418261766947
117.39510028484696,143.3298587066239,231.22985077405204,225.64913622874346
129.12900676649537,139.2281344927459,232.4991170766709,220.37922793527397
130.53338281860303,155.45391044202597,250.42550240700837,221.7771011489494
140.34825275609873,156.9576385468731,243.91258351408598,226.09217450832026
148.96737010344,161.77683444163782,243.29088341854006,238.68414119332624
156.67109782216846,168.21242901659113,244.6279074886987,244.3443292721212
162.63127759297885,172.74965160239896,244.4935989567096,250.08519799021053
167.67650976046338,175.00359931372572,240.44131603114508,254.73370194440844
170.1769192082151,178.09367705807583,243.25533881717496,253.44038668042631
171.35590258256258,177.83892051177364,241.83687604528646,254.96138450699445
172.69269821634916,174.83050704052968,241.5491122569773,256.7760155858866
172.07855930818175,176.1997910828918,244.37997003617946,259.67898736972893
174.8555329010958,171.7152851563114,240.5887504170977,262.46589737336745
177.73869476062646,169.1055816078097,232.94347181059044,264.30707983526287
178.48779105141801,165.30480943785463,228.61845995640272,262.01699393485734
181.5495476621662,156.02538878303145,229.5905882426349,261.958453648764
128.8216809365718,178.99002991690708,252.68488779169326,230.17950783325753
128.9313501997746,176.67562075883885,245.43259376435356,235.2971485271876
128.727380130017,176.60839674496543,238.46248517020996,238.0014207082262
120.00444727555887,163.58226970154695,239.6181226350694,250.2616178403607
174.31768348830704,129.0893890265063,241.45652650222272,239.7456897075308
171.16779225254146,132.06820200829225,243.04938141874015,241.3589484504605
163.51477465542018,137.34382480466158,243.80624231506107,259.22391716994844
150.2295190892247,146.76805190521145,247.74909487018905,260.3042465404077
152.31102982970953,139.40896750080572,252.19493817206305,256.4823157699677
164.22188533824627,140.98938955429966,250.24473432182552,263.20248303585373
167.59673397591874,143.1074637560006,248.28436880811125,257.6361508931628
161.97333714632214,140.32846786270972,252.3908842074363,254.23307108247928
157.38530303196785,145.45310432669615,252.25413515322572,248.41515876040916
155.07471848212748,147.68904503763062,255.19123824220225,247.9024081931832
163.4683064040624,150.6886513947971,250.88149477911153,247.70610167817816
163.31233100486276,157.9378596324879,255.32924876531385,247.03236472798753
166.15955418273938,164.5494272746707,258.4720852906031,247.83395351796003
161.7751797544931,171.0282598638298,264.18721169839944,246.69777866529387
157.91073787087,177.08244169130646,267.4925684067825,249.0183505690932
152.9165809012587,183.52005727308014,268.41483091877456,-471.59091895824946
146.65760823354506,183.36243340684595,268.76202788299196,-469.40262419429325
147.23494572245764,182.14588393987162,268.41310894642163,-468.70498590462887
147.35555668610237,178.14653210837784,268.2777713685817,-464.00670303770966
149.3351739768617,177.30459439095716,268.0444432024004,-468.19668496844963
145.05924583713698,177.03637934259814,266.7335609623664,247.70889492051896
143.8895411459986,181.51116223274406,263.9405253196001,240.27866813844074
140.75475289124785,180.26157931262267,260.937294926159,238.610866648275
138.09397757816086,174.80895366920217,256.0679586991874,238.30523650609112
132.05084677979787,173.58921246443506,247.60724226109056,240.7529929813806
124.67326491415443,172.81705033200862,244.02815398880608,243.4039708084293
125.86606244897075,166.1061981750359,248.03504448918528,248.2212960410257
122.04585721136787,166.87371247592012,246.56113122483762,250.87497430149867
124.15636000299821,160.253455704171,242.14577410685277,251.970063826753
121.6398996867227,154.7597365339707,247.82831091769683,251.19141047068732
127.31199905630179,147.13708572864687,238.38932961554517,249.67135462287052
127.71041879419771,144.5772737949404,236.8849648999422,243.94353413830396
133.89563982793462,143.797729894087,253.46571692172674,247.89088025492418
132.34788533348708,149.22802014571656,255.37711499808384,247.25245269422504
150.4045986131008,134.1765731251347,244.92558065818434,255.28761274948639
160.82892772763287,171.88968167234069,210.2907894354518,208.5349441762199
166.95963642426145,168.1971400463452,228.95283280306305,263.2451531080671
164.33710611223808,169.19055284563828,229.33440708164645,259.79375910102215
167.26381268303402,168.15333507389914,229.80323095299164,260.4638888488986
165.68538852954052,169.9924255253519,229.32804864942912,259.3838553870869
154.5747746517193,167.67663126596625,260.65110950088047,264.52179320924785
154.75312340319684,166.35363828079883,267.34960556585554,267.21311466152787
157.73533057372646,166.68262012760817,263.171815601451,268.3838412831039
177.89880206475883,164.97382088121793,223.6586084190576,265.76822083424565
172.05801434559717,160.13566131592117,232.2157938480908,268.01661361317736
