X,Y
1911,873
1912,849
1914,864
1938,873
1950,874
1949,861
1935,852
1910,831
1863,813
1831,811
1796,813
1631,882
1600,886
1547,889
1503,895
1491,897
1492,903
1491,905
1488,907
1487,910
1487,910
1485,909
1485,909
1488,909
1492,908
1494,871
1492,876
1484,878
1477,886
1481,898
1484,903
1484,903
1485,902
1485,900
1486,890
1476,868
1463,847
1424,832
1377,826
1350,825
1256,856
1232,867
1206,879
1184,889
1066,893
1200,910
1220,911
943,904
930,901
926,902
928,902
927,905
925,907
927,910
925,909
931,908
906,882
906,885
919,894
924,897
927,896
932,895
933,894
931,882
917,855
666,889
659,901
772,829
738,844
700,853
680,847
650,872
635,886
518,891
452,893
423,893
392,895
385,897
379,902
379,903
379,907
379,908
380,909
384,908
386,908
383,908
384,892
384,892
372,892
376,895
382,898
383,901
383,902
384,902
384,901
382,892
381,882
375,862
352,845
336,831
95,885
91,897
95,895
178,835
127,850
103,852
68,865
67,879
68,885
