X,Y
153,891
154,891
154,891
153,891
153,892
145,880
145,875
147,876
156,874
209,870
237,871
235,895
176,893
160,894
156,894
156,893
159,887
160,877
168,855
180,847
215,831
261,824
288,828
398,891
418,889
496,889
579,901
611,903
660,906
684,912
684,915
684,915
685,915
686,915
682,916
681,915
679,919
673,915
679,916
683,904
736,888
813,891
854,891
916,896
713,897
695,897
692,894
694,882
704,867
735,846
783,832
815,833
875,838
934,821
971,849
1044,879
1124,893
1160,902
1224,905
1266,907
1272,910
1275,917
1277,917
1201,918
1272,916
1273,917
1277,916
1260,904
1265,910
1268,909
1306,902
1305,901
1289,907
1286,909
1284,911
1282,911
1279,910
1279,904
1285,889
1310,862
1331,851
1377,841
1432,840
1459,839
1506,848
1556,871
1586,885
1659,890
1711,897
1736,901
1777,903
1787,908
1785,907
1779,904
1778,906
1778,905
1775,904
1770,905
1769,906
1767,907
1766,907
1771,906
1771,899
1789,889
1788,888
1795,885
1789,886
1786,890
1784,890
1785,891
